,Title,Company,Location,Post_Date,URL,Current Status,Source,Description
675,"Associate Director/Director, Product Communications","Seattle Genetics, Inc.","Bothell, WA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=d42283f8da92d538,NaN,indeed,NaN
676,Public Relations and Social Media Manager,Oppenheim Law,"Weston, FL",2018-11-05 17:39:46,https://www.indeed.com/viewjob?jk=8a34b53cf4a550ff,NaN,indeed,1.0
677,PR Manager,Lisnr Inc,"Oakland, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a6cf4917750c841c,NaN,indeed,1.0
678,"General Assignment Reporter, Currents News","DeSales Media Group, Inc.","Brooklyn, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=b4dc79a894f1e795,NaN,indeed,NaN
679,Policy Communications Manager,Tahirih Justice Center,"Falls Church, VA 22042",2018-10-25 17:39:46,https://www.indeed.com/viewjob?jk=69f49e7f4bf62f78,NaN,indeed,NaN
680,"Manager, International Communications and SpeechWriting","Oceana, INC","Washington, DC 20036 (Downtown area)",2018-10-30 17:39:46,https://www.indeed.com/viewjob?jk=7ae68ee1faadd532,NaN,indeed,NaN
681,"Vice President, Research and Science",The Pew Charitable Trusts,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=886c3d34dee20fa6,NaN,indeed,4.0
682,Senior Producer – Real Time,Al Jazeera Media Network,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a42d6757ddaf0dde,NaN,indeed,1.0
683,DIGITAL MARKETING COORDINATOR,Mod intelechy,"Austin, TX",2018-10-16 17:39:47,https://www.indeed.com/viewjob?jk=34bab3d7c51dd834,NaN,indeed,2.0
684,"Staff Writer, Transportation and Infrastructure - CQ Roll Call",The Economist Group,"Washington, DC",2018-10-24 17:39:47,https://www.indeed.com/viewjob?jk=6e941fde3162b981,NaN,indeed,1.0
685,"Associate Director, Global Communications",International Rescue Committee,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=d0feac2017a4cad6,NaN,indeed,NaN
686,"Director, Corporate Communications and External Affairs - West Region",SAP,"Palo Alto, CA",2018-10-26 17:39:47,https://www.indeed.com/viewjob?jk=90e57a14dda8cc21,NaN,indeed,NaN
687,"Executive Office, Media Relations, Senior Analyst/Associate, New York",Goldman Sachs,"New York, NY 10282 (Tribeca area)",2018-10-23 17:39:47,https://www.indeed.com/viewjob?jk=00977c751166d598,NaN,indeed,NaN
688,Bilingual Public Relations Manager,Comcast,"Livermore, CA 94551",2018-10-30 17:39:47,https://www.indeed.com/viewjob?jk=afe087dcb3c6c36f,NaN,indeed,NaN
689,Senior Producer - Newsgathering,Al Jazeera Media Network,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=8f95fafb482aae80,NaN,indeed,NaN
690,Head of Marketing - Content (Global),Argus Media,"Houston, TX 77056 (Galleria-Uptown area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=44ac9267a6d55b40,NaN,indeed,1.0
691,Fall 2018 Marketing Intern,The Fox Magazine,"El Segundo, CA 90245",2018-10-31 17:39:49,https://www.indeed.com/viewjob?jk=319f81d0d33d68a4,NaN,indeed,NaN
692,"Communications Manager - Chicago or Decatur, IL",Archer Daniels Midland Company,"Decatur, IL 62526",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=1dce4969d692ad58,NaN,indeed,NaN
693,"PROGRAM MANAGER, WBUR BUSINESS LAB",Boston University,"Boston, MA",2018-10-23 17:39:49,https://www.indeed.com/viewjob?jk=aa912de210b958cb,NaN,indeed,NaN
694,Director of Media Strategy,Outcast,"San Francisco, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=960a510c25e16866,NaN,indeed,1.0
695,Senior Digital Producer,Media Networks,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0f703917f30b6b5d,NaN,indeed,NaN
696,"Writer,Global Campaign & Digital Marketing",Veeam Software,"Columbus, OH 43240 (Far North area)",2018-10-31 17:39:49,https://www.indeed.com/viewjob?jk=2ae24b90431696bd,NaN,indeed,NaN
697,Reuters NABJ Fellowship (Trainee),Thomson Reuters,"New York, NY 10036",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a84d3b32760533cd,NaN,indeed,NaN
698,Account Director,Abel Communications,"Baltimore, MD",2018-10-29 17:39:49,https://www.indeed.com/viewjob?jk=324c686ed87f31f9,NaN,indeed,NaN
699,Account Manager,Articulate Communications,New York State,an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=cb5ab9e144d7a161,NaN,indeed,NaN
700,News Content Producer - WMAQ,NBCUniversal,"Chicago, IL",2018-11-07 17:39:52,https://www.indeed.com/viewjob?jk=1b0d2f2243acc227,NaN,indeed,NaN
701,"Social Media Manager, Reuters",Thomson Reuters,"New York, NY 10036",2018-11-02 17:39:52,https://www.indeed.com/viewjob?jk=b1a5b6cf7126e4c1,NaN,indeed,NaN
702,Graphic Designer,Population Reference Bureau,"Washington, DC 20009 (U Street Corridor area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=cbe9f9a1789741d4,NaN,indeed,4.0
703,Digital Media Producer WCBS Newsradio 880,Entercom Communications Corp.,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ebcff8a12a008637,NaN,indeed,NaN
704,Social Insights Manager (Corporate & Public Affairs),Edelman,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=496ab6861b750da7,NaN,indeed,NaN
705,"Adjunct, English: Journalism",Saint Joseph's University,"Philadelphia, PA",2018-10-17 17:39:52,https://www.indeed.com/viewjob?jk=10ddf3013382b6a7,NaN,indeed,NaN
706,"Senior Digital Editor, Gothamist",New York Public Radio,"New York, NY 10036",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e998ceb423ea070b,NaN,indeed,NaN
707,Application Security Analyst,The New York Times,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=794b413a713ace69,NaN,indeed,1.0
708,PR Senior Account Executive,CTP,"Boston, MA",2018-10-17 17:39:54,https://www.indeed.com/viewjob?jk=7fd5b69971839047,NaN,indeed,NaN
709,Content Marketing and Communications Manager,United Way,"Abingdon, VA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=9354babb1177b892,NaN,indeed,NaN
710,KRBC Evening News Producer,Nexstar Broadcasting,"Abilene, TX",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0a62c16c6638e0e4,NaN,indeed,NaN
711,B2B Marketing Manager,Gameloft,"New York, NY",2018-11-13 17:39:54,https://www.indeed.com/viewjob?jk=2e5103ad5aef6d71,NaN,indeed,NaN
712,Regional Communications Manager,Sierra Club,"Chicago, IL",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c527cac6440cdb9f,NaN,indeed,NaN
713,Digital Account Manager - Connections MidWest,"iHeartMedia, Inc.","Chicago, IL",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ba2fb02803f2afa9,NaN,indeed,NaN
714,West Coast Communications Manager,National Parks Conservation Association,"Oakland, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=fd888942c305d7bf,NaN,indeed,NaN
715,Program and Communications Manager,Columbia University,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=35bc456fbb0dd371,NaN,indeed,NaN
716,Manager Operations - Communications & Ex...,NYC School Construction Authority,"Long Island City, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=62eea7bed6639df7,NaN,indeed,NaN
717,Public Relations Manager,Crowley Webb,"Buffalo, NY 14202 (Central Business District area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=9823ed6301d99a93,NaN,indeed,NaN
718,Politics Editor (Editor in Charge),Thomson Reuters,"Washington, DC 20005 (Logan Circle area)",2018-10-25 17:39:56,https://www.indeed.com/viewjob?jk=9f55494a33b9b9db,NaN,indeed,NaN
719,Marketing Designer,ChefSteps,"Seattle, WA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c0ee7b5719f8dea0,NaN,indeed,2.0
720,Director of Strategic Communications and Marketing,Middle East Broadcasting Networks Inc.,"Springfield, VA",2018-11-06 17:39:58,https://www.indeed.com/viewjob?jk=4ff5f34fc2d89d97,NaN,indeed,NaN
721,"PRODUCER/REPORTER II, Health & Science, WBUR Program & Production",Boston University,"Boston, MA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=39082011fe44b9de,NaN,indeed,NaN
722,"Vice President, Public Affairs",Edelman,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=450aa6e7b348eccb,NaN,indeed,NaN
723,Principal Product Manager – Genomics,Amazon.com,"Seattle, WA",2018-10-18 17:39:58,https://www.indeed.com/viewjob?jk=501438a81604b3bd,NaN,indeed,1.0
724,Senior Data Scientist - Machine Learning Engineer,IBM,United States,2018-11-11 17:39:58,https://www.indeed.com/viewjob?jk=cefa79152283d7bb,NaN,indeed,20.0
725,"Associate Director, Business Intelligence and Investigations","DUFF AND PHELPS, LLC","New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=d2586d3ef64ed81f,NaN,indeed,14.0
726,"Executive Communications Manager, Ads & Commerce",Google,"New York, NY 10011 (Chelsea area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=31986eaaa786751d,NaN,indeed,NaN
727,Business Development Director,Gigamon,"Santa Clara, CA",2018-11-08 17:40:00,https://www.indeed.com/viewjob?jk=b53280e8a0f33320,NaN,indeed,1.0
728,Pensions & Investments Web Producer,Crain Communications,"Chicago, IL 60601 (Loop area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a13aa3aaa25d868b,NaN,indeed,2.0
729,"Producer, Consumer and Personal Finance, CNBC.com",NBCUniversal,"Englewood Cliffs, NJ",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=b5b4e1d5df71de59,NaN,indeed,1.0
730,Strategic Marketing Manager-Content,JLL,"Miami, FL",2018-11-07 17:40:00,https://www.indeed.com/viewjob?jk=00951188f9e04b1a,NaN,indeed,NaN
731,Development Associate,Earth Day Network,"Washington, DC 20036 (Downtown area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=1409cf6308c68f86,NaN,indeed,NaN
732,Marketing Manager,Western Asset Management,"Pasadena, CA",2018-10-26 17:40:00,https://www.indeed.com/viewjob?jk=6ef6a3d025ea4b9d,NaN,indeed,NaN
733,Communications & Public Relations Spring Internship,Blue Cross Blue Shield of Rhode Island,"Providence, RI 02903 (Downtown area)",2018-10-28 17:40:00,https://www.indeed.com/viewjob?jk=58bbc332cbf4983a,NaN,indeed,2.0
734,Senior Commercial Excellence Analyst,Coloplast,"Minneapolis, MN",2018-10-26 17:40:02,https://www.indeed.com/viewjob?jk=e39a8314f8af3ba0,NaN,indeed,1.0
735,"ASSOCIATE PROFESSOR OF THE PRACTICE OF JOURNALISM, College of Communication",Boston University,"Boston, MA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=68a797ff618aba48,NaN,indeed,NaN
736,Marketing & Communications Program Manager (FULL-TIME),Nemours,"Jacksonville, FL 32256",2018-10-20 17:40:02,https://www.indeed.com/viewjob?jk=a4bce1ebd02c6b4a,NaN,indeed,2.0
737,"Deputy Editor, Pro Private Equity",Dow Jones,"New York, NY 10176 (Murray Hill area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=96d88534f7e20b50,NaN,indeed,NaN
738,PUBLIC AFFAIRS DIRECTOR - EXEMPT BAND 3,State of Washington Dept. of Fish and Wildlife,"Olympia, WA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=7cd625f0eb96219d,NaN,indeed,NaN
739,Marketing Manager & Coordinator,Yosemite Mariposa County Tourism Bureau,"Mariposa, CA 95338",2018-11-06 17:40:02,https://www.indeed.com/viewjob?jk=9c3b4e94f22d18b9,NaN,indeed,NaN
740,"Communications Manager, Google Cloud, Storage, Databases, and Firebase",Google,"Sunnyvale, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=d442d4eb0f8f9b56,NaN,indeed,2.0
741,Senior Account Executive - Bite,Text100,"San Francisco, CA",2018-11-07 17:40:04,https://www.indeed.com/viewjob?jk=acb42e2ac10846f2,NaN,indeed,NaN
742,Product Marketing Manager,Argus Media,"Houston, TX 77056 (Galleria-Uptown area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=69e3d51f786b22fa,NaN,indeed,1.0
743,Public Radio Documentary Adjunct Instructor,USC,"Los Angeles, CA",2018-10-19 17:40:04,https://www.indeed.com/viewjob?jk=00141dd2565d0f53,NaN,indeed,NaN
744,"Executive and Internal Communications Manager, Google Cloud",Google,"Sunnyvale, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=576edd5809469aa5,NaN,indeed,NaN
745,"Assistant Professor, Digital Cultures - The Department of Media, Film and Journalism Studies",University of Denver,"Denver, CO",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=bb0fd20afc3df47d,NaN,indeed,1.0
746,"Engineering Manager, iOS",The New York Times,"New York, NY",2018-11-10 17:40:04,https://www.indeed.com/viewjob?jk=af749b6d8fb8bd43,NaN,indeed,NaN
747,Assistant/Associate Professor in Journalism Studies,Emerson College,"Boston, MA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=37efd33fcf53334a,NaN,indeed,NaN
748,Public Relations Manager,EY,"New York, NY",2018-10-17 17:40:04,https://www.indeed.com/viewjob?jk=779009ab6bab1c66,NaN,indeed,NaN
749,"Business Development Manager, GenFuels",Argus Media,"Houston, TX 77056 (Galleria-Uptown area)",2018-11-04 17:40:04,https://www.indeed.com/viewjob?jk=9c9ce3291155a93b,NaN,indeed,2.0
750,Chief Technology Officer (CTO),"AeroVironment, Inc.","Simi Valley, CA",2018-11-08 17:40:06,https://www.indeed.com/viewjob?jk=6e78e3b324426496,NaN,indeed,1.0
751,Digital-First Crime Reporter,The E.W. Scripps Company,"Indianapolis, IN 46202",2018-10-18 17:40:06,https://www.indeed.com/viewjob?jk=9ec18c2fa0c7560e,NaN,indeed,NaN
752,Public Relations Program Manager,PerkinElmer,"Waltham, MA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=551cdb173d8928c5,NaN,indeed,NaN
753,HR Leader – Customer Solutions,Tableau,"Seattle, WA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c2361d79699de546,NaN,indeed,9.0
754,Top News Editor (Editor in Charge),Thomson Reuters,"New York, NY 10036",2018-11-04 17:40:06,https://www.indeed.com/viewjob?jk=ccc7cf27ce02785c,NaN,indeed,NaN
755,Storage Engineer (Ceph),ProtonMail,"Geneva, OR",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=9ca658333a7fa923,NaN,indeed,4.0
756,Multi-Platform News Producer,TEGNA,"Columbia, SC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=b92bd720beab304f,NaN,indeed,NaN
757,"Marketing Manager, Brand and Thought Leadership",Invetech,"San Diego, CA 92121",2018-10-15 17:40:08,https://www.indeed.com/viewjob?jk=8290522a907dcec8,NaN,indeed,NaN
758,Cell Press science writing/press office internship,Elsevier,"Cambridge, MA",2018-10-16 17:40:08,https://www.indeed.com/viewjob?jk=6031652198915850,NaN,indeed,NaN
759,"Senior Publicity Manager, BAM Cinema",Brooklyn Academy of Music,"Brooklyn, NY 11217 (Boerum Hill area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=578fdadcd8a03256,NaN,indeed,NaN
760,"Global Media Relations Manager, Communications, Media & Technology",Accenture,"New York, NY 10011 (Chelsea area)",2018-10-23 17:40:08,https://www.indeed.com/viewjob?jk=f7757e398b8de138,NaN,indeed,NaN
761,Marketing Manager,"FOX FACTORY, INC.","Scotts Valley, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=05987dcd4ea132bd,NaN,indeed,1.0
762,Public Relations Manager,Lyric Opera of Chicago,"Chicago, IL 60606 (Loop area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ba4270476217579f,NaN,indeed,1.0
763,Chief Financial Officer,Craft Brew Alliance,"Portland, OR",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=b1d68a88c3dec3ff,NaN,indeed,NaN
764,Systems and Site Reliability Engineer,ProtonMail,"San Francisco, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=33a941b6c3d715b5,NaN,indeed,1.0
765,"QA Engineer, Content Management Systems / Photos",The New York Times,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ff1574a94cc32ea1,NaN,indeed,NaN
766,Senior Account Executive,Estey-Hoover,"Manhattan, NY",2018-10-29 17:40:10,https://www.indeed.com/viewjob?jk=4400d8c767a2605f,NaN,indeed,NaN
767,Assistant or Associate Professor of Journalism / Digital Media,Drake University,"Des Moines, IA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=7a2d546ee27e9147,NaN,indeed,1.0
768,Distributed Systems Engineer - Data,Cloudflare,"San Francisco, CA",2018-10-27 17:40:10,https://www.indeed.com/viewjob?jk=59c5c6957758e540,NaN,indeed,6.0
769,Principal Engineer,The New York Times,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=533e733ffdcd2075,NaN,indeed,2.0
770,Public Relations and Communications Manager,Studio71,"Los Angeles, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f081cd0d10b0bdb4,NaN,indeed,NaN
771,Sr. Communications Manager,MoPOP,"Seattle, WA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c2706b8fa176b7aa,NaN,indeed,NaN
772,Associate/Full Professor or Professor of the Practice of International Conflict Resolution and Coexi,Brandeis University,"Waltham, MA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f59398e3f1dbe15f,NaN,indeed,NaN
773,Senior Account Executive,Articulate Communications,New York State,an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=518abfaa46622871,NaN,indeed,NaN
774,Content Producer WWSI Telemundo 62,NBCUniversal,"Philadelphia, PA",2018-10-17 17:40:13,https://www.indeed.com/viewjob?jk=3b4bdce934348b3e,NaN,indeed,NaN
775,"Public Relations Manager, Media Relations",Golin,"Chicago, IL",2018-10-31 17:40:13,https://www.indeed.com/viewjob?jk=0b8159b967bda9ee,NaN,indeed,2.0
776,Product Manager - Video and News Strategy,McClatchy,"Raleigh, NC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=7797fd7d25ef6ffc,NaN,indeed,4.0
777,"Communications Manager, Compute and Developer Tools, Google Cloud",Google,"Sunnyvale, CA",2018-10-25 17:40:13,https://www.indeed.com/viewjob?jk=355acc36b3cbaf60,NaN,indeed,NaN
778,Corporate Counsel,Logikcull,"San Francisco, CA",2018-10-26 17:40:13,https://www.indeed.com/viewjob?jk=75428db85733eced,NaN,indeed,5.0
779,Marketing Manager,The Exchange Lab,"New York, NY 10010 (Gramercy area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a2a870c4ac1e2457,NaN,indeed,NaN
780,Assistant Professor - Data Journalism,Syracuse University,"Syracuse, NY",2018-11-06 17:40:15,https://www.indeed.com/viewjob?jk=86b7284963d37a37,NaN,indeed,9.0
781,"Industry Public Relations Specialist, Google Cloud",Google,"Sunnyvale, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=8bb2525ba459c87b,NaN,indeed,NaN
782,"Director, First Amendment Clinic - School of Law",Washington University in St. Louis,"St. Louis, MO",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f2295b6806dfbd07,NaN,indeed,NaN
783,Regional Marketing Specialist,OneDigital,"Cupertino, CA 95014",2018-11-09 17:40:15,https://www.indeed.com/viewjob?jk=74d209d83c442b27,NaN,indeed,1.0
784,Linguists TS/SCI w//Poly,Leidos,"Chantilly, VA",2018-10-16 17:40:15,https://www.indeed.com/viewjob?jk=7dff63e2bd898507,NaN,indeed,1.0
